Fecha;Pib Real Trimestral
31/03/2005;119616,7073
30/06/2005;125201,6821
30/09/2005;128882,9177
31/12/2005;141151,6929
31/03/2006;127227,3677
30/06/2006;131863,6639
30/09/2006;138750,6172
31/12/2006;151593,3512
31/03/2007;135873,8646
30/06/2007;140902,003
30/09/2007;148267,6029
31/12/2007;161413,5294
31/03/2008;142862,4296
30/06/2008;147686,7631
30/09/2008;153184,9852
31/12/2008;161978,822
31/03/2009;143259,2686
30/06/2009;148608,6252
30/09/2009;153940,6586
31/12/2009;166807,4477
31/03/2010;148456,404
30/06/2010;155525,8597
30/09/2010;160281,8536
31/12/2010;175886,8827
31/03/2011;158581,5701
30/06/2011;165942,9883
30/09/2011;172911,2148
31/12/2011;187192,2268
31/03/2012;168034,0441
30/06/2012;174124,8724
30/09/2012;177157,2342
31/12/2012;192098,8493
31/03/2013;172392,2376
30/06/2013;183589,1607
30/09/2013;187826,0779
31/12/2013;204131,5239
31/03/2014;183437,2381
30/06/2014;190080,4652
30/09/2014;195819,1299
31/12/2014;212252,1668
31/03/2015;188807,8119
30/06/2015;196562,7273
30/09/2015;203290,111
31/12/2015;216031,3498
31/03/2016;193133,4655
30/06/2016;200544,0446
30/09/2016;206304,5228
31/12/2016;221506,9671
31/03/2017;195109,2287
30/06/2017;203045,1564
30/09/2017;209724,8749
31/12/2017;224776,74
31/03/2018;198178,8553
30/06/2018;208762,7156
30/09/2018;215802,8458
31/12/2018;231263,5832
31/03/2019;205332,7738
30/06/2019;215234,4004
30/09/2019;222747,2332
31/12/2019;238714,5925
31/03/2020;206705,6852
30/06/2020;181129,2401
30/09/2020;203789,787
31/12/2020;230008,9907
